iter	Logloss
0	0.6625235951
1	0.6466655399
2	0.6333923281
3	0.6205348043
4	0.5988120393
5	0.5850722096
6	0.5665907484
7	0.550225328
8	0.5342122676
9	0.5247282271
10	0.5149846119
11	0.4989335311
12	0.4918484286
13	0.4789576324
14	0.4671724101
15	0.4568963273
16	0.4522458224
17	0.446356807
18	0.4404232721
19	0.4362964211
20	0.4313887446
21	0.4251958257
22	0.4205686833
23	0.4152287315
24	0.4077318661
25	0.3987644173
26	0.3952860702
27	0.391087368
28	0.3859634069
29	0.3814282405
30	0.3792834094
31	0.3761891202
32	0.3713533308
33	0.3610756256
34	0.3590088774
35	0.3548169892
36	0.3521373995
37	0.348594647
38	0.3453439431
39	0.3412155368
40	0.3385960713
41	0.3319964928
42	0.329529576
43	0.3270074772
44	0.3212691703
45	0.318346867
46	0.3139899438
47	0.3099814325
48	0.307853606
49	0.303815326
50	0.3007505869
51	0.2986066351
52	0.2961077881
53	0.2940689004
54	0.2892739958
55	0.2867325623
56	0.2844168719
57	0.2812929314
58	0.2780376801
59	0.2756428284
