iter	Passed	Remaining
0	2	640
1	3	545
2	4	487
3	6	482
4	7	463
5	9	464
6	10	453
7	11	437
8	13	422
9	14	410
10	15	401
11	16	392
12	17	385
13	18	377
14	19	369
15	20	362
16	21	355
17	22	349
18	23	345
19	24	340
20	25	339
21	26	339
22	27	336
23	28	332
24	29	328
25	30	324
26	31	322
27	32	318
28	33	316
29	34	314
30	35	311
31	36	309
32	37	306
33	38	304
34	39	301
35	41	300
36	42	300
37	43	298
38	44	297
39	45	296
40	46	294
41	47	293
42	48	291
43	50	291
44	51	290
45	52	289
46	53	288
47	54	287
48	55	286
49	57	285
50	58	285
51	59	284
52	60	282
53	61	281
54	62	279
55	63	277
56	64	276
57	65	274
58	66	272
59	67	270
60	68	269
61	69	267
62	70	266
63	71	264
64	72	262
65	73	261
66	74	260
67	75	259
68	76	257
69	77	256
70	78	254
71	79	253
72	80	251
73	81	250
74	82	248
75	83	246
76	84	245
77	85	243
78	86	242
79	87	240
80	88	239
81	89	238
82	90	237
83	91	236
84	92	234
85	93	233
86	95	232
87	96	231
88	97	230
89	98	229
90	99	228
91	100	227
92	101	226
93	102	225
94	103	224
95	105	223
96	106	222
97	107	221
98	108	219
99	109	218
100	110	217
101	111	216
102	112	214
103	113	213
104	114	212
105	115	210
106	116	209
107	117	208
108	118	207
109	119	205
110	120	204
111	121	203
112	122	202
113	123	201
114	124	200
115	125	198
116	126	197
117	127	196
118	128	195
119	129	193
120	130	192
121	131	191
122	132	190
123	133	189
124	134	187
125	135	186
126	136	185
127	137	184
128	138	183
129	139	182
130	140	181
131	141	180
132	142	179
133	144	178
134	145	177
135	146	176
136	147	175
137	148	174
138	149	173
139	151	172
140	152	171
141	153	170
142	154	169
143	155	168
144	156	167
145	157	166
146	158	165
147	159	164
148	160	163
149	162	162
150	163	160
151	164	159
152	165	158
153	166	157
154	167	156
155	168	155
156	169	154
157	170	153
158	171	152
159	172	151
160	174	150
161	175	149
162	176	148
163	177	146
164	178	145
165	179	144
166	180	143
167	181	142
168	181	141
169	182	139
170	183	138
171	184	137
172	186	136
173	187	135
174	188	134
175	189	133
176	190	132
177	191	131
178	192	130
179	193	129
180	194	128
181	195	127
182	197	125
183	198	124
184	199	123
185	200	122
186	201	121
187	202	120
188	203	119
189	204	118
190	205	117
191	206	116
192	207	115
193	208	113
194	209	112
195	210	111
196	211	110
197	212	109
198	213	108
199	214	107
200	215	106
201	216	104
202	217	103
203	218	102
204	219	101
205	221	100
206	222	99
207	223	98
208	224	97
209	225	96
210	226	95
211	227	94
212	228	93
213	229	92
214	230	90
215	231	89
216	232	88
217	233	87
218	234	86
219	235	85
220	236	84
221	237	83
222	238	82
223	239	81
224	240	80
225	241	79
226	242	78
227	244	77
228	245	75
229	246	74
230	247	73
231	248	72
232	249	71
233	250	70
234	251	69
235	253	68
236	253	67
237	254	66
238	255	65
239	256	64
240	257	63
241	258	62
242	259	60
243	260	59
244	261	58
245	262	57
246	263	56
247	264	55
248	266	54
249	267	53
250	268	52
251	269	51
252	270	50
253	271	49
254	272	48
255	274	47
256	275	46
257	276	44
258	277	43
259	278	42
260	279	41
261	280	40
262	282	39
263	283	38
264	284	37
265	285	36
266	286	35
267	287	34
268	288	33
269	289	32
270	290	31
271	291	30
272	292	28
273	294	27
274	295	26
275	296	25
276	297	24
277	298	23
278	299	22
279	300	21
280	301	20
281	302	19
282	304	18
283	305	17
284	306	16
285	306	15
286	307	13
287	308	12
288	309	11
289	310	10
290	311	9
291	313	8
292	314	7
293	315	6
294	316	5
295	317	4
296	318	3
297	319	2
298	320	1
299	321	0
